picturename,rightmin,rightflat,righth,rightangle,leftmin,leftflat,lefth,leftangle,tapewid,tapeangle,tapevelocity,velocityuncertainty,1stmax,2ndmax,3rdmax,R,w,L,VW
3649,nan,nan,nan,45.74,8.85,nan,nan,46.21,4574,90,490.9,2.3,81.73,nan,nan,,2114,,2832
3689,6.93,9.44,151,51.79,7.23,9.59,141,52.1,4574,90,526.5,2.3,106.15,nan,nan,6132,2217,,3277
3724,7.67,nan,nan,52.72,7.67,9.15,74,53.48,4574,90,553.5,4.6,110.88,isolated,nan,,2185,800,3251
3611,7.23,9.15,247,50.93,7.38,9.44,247,52.26,4574,90,559.9,0.7,109.11,nan,nan,3991,2154,,3439
3667,7.52,9.44,76,54.25,nan,nan,nan,53.86,4574,90,566.9,2.5,110.99,isolated,nan,,2358,789,3290
3697,7.08,8.56,117,53.88,7.23,9.15,127,54.6,4574,90,573.8,1.2,102.04,72.78,nan,5838,2290,765,3424
3593,8.7,10.03,121,57.92,nan,nan,29,57.7,4574,90,580.3,2.6,nan,nan,nan,,2475,,3444
3631,7.38,9.15,111,53.88,7.97,10.47,211,54.34,4574,90,582,3.4,88.78,nan,nan,4962,2276,,3376
3705,6.79,9.15,nan297,58.45,7.23,9.15,nan410,58.42,4574,90,632.8,1.8,99.36,nan,nan,,reject2176,,3595
3619,8.7,10.03,nan78,60.11,9,10.33,nan218,60.66,4574,90,657.6,2.9,nan,nan,nan,,reject2112,,3488
3638,6.93,9.29,271,58.13,7.08,9.29,307,57.57,4574,90,665.7,1.2,nan,nan,nan,,2438,,3659
3625,8.85,10.03,62,59.93,8.85,10.33,135,59.75,4574,90,669.9,2.9,107.8,outofframe,nan,,2378,,3421
3680,9.74,11.65,97,60.89,9.59,11.65,121,61.35,4574,90,694.4,4.1,nan,nan,nan,,2373,,3504
3599,10.33,nan15.05,nan1053,69.84,12.69,nan15.34,nan442,70.18,4574,90,895.9,3.2,nan,nan,nan,,reject1990,,3658
3659,9.88,13.13,244,68.57,9.74,12.98,465,68.77,4574,90,900,1.2,nan,nan,nan,6222,2611,,3735
