picturename,rightmin,rightflat,righth,rightangle,leftmin,leftflat,lefth,leftangle,tapewid,tapeangle,tapevelocity,velocityuncertainty,1stmax,2ndmax,3rdmax,R,w,L,VW
3483,2.65,3.54,358,43.98,2.65,3.54,387,44.15,4582,90,147.9,1.4,isolated,nan,nan,,1744,,3224
3479,2.65,3.69,470,52.34,2.65,3.39,566,52.03,4582,90,152.3,1,85.11,nan,nan,1893,1877,849,3366
3440,2.8,3.69,441,48.92,2.65,3.69,488,49.59,4582,90,157.2,2.1,82.33,nan,nan,1860,1823,,3300
3448,2.65,3.69,571,52.22,2.51,3.69,703,53.36,4582,90,164.1,2.1,88.57,49.47,nan,1931,1943,891,3620
3451,2.65,3.98,806,59.23,2.65,3.98,990,59.86,4582,90,202.2,1.3,89.1,57.71,nan,1883,2050,864,3852
3486,2.8,4.28,1051,65.76,2.8,4.28,1360,66.33,4582,90,239.2,1.7,isolated,71.96,maybe,1976,2176,980,3970
3506,3.39,4.28,1107,67.26,3.39,4.28,1513,67.89,4582,90,255.8,2.2,isolated,outofframe,outofframe,1956,2230,967,4084
3456,2.95,4.57,1174,68.59,2.95,4.57,1569,68.8,4582,90,258.4,2.3,95.25,outofframe,maybe,,2207,1161,4024
3504,3.39,4.72,1308,69.56,3.1,4.72,1616,70.01,4582,90,284.4,1.5,isolated,outofframe,outofframe,1986,2259,1018,4072
3526,3.24,4.57,1386,71.17,3.1,4.57,1695,71.57,4582,90,286.3,2.2,isolated,outofframe,outofframe,1978,2305,1060,4080
3516,2.8,4.72,1452,71.68,2.8,4.72,1754,71.69,4582,90,297.7,1.6,isolated,outofframe,outofframe,1868,2301,1198,4082
3511,3.83,5.02,1650,74.8,3.69,5.02,2008,74.95,4582,90,352.8,0.9,nan57.83,isolated,outofframe,,2491,741,4174
