picturename,rightmin,rightflat,righth,rightangle,leftmin,leftflat,lefth,leftangle,tapewid,tapeangle,tapevelocity,velocityuncertainty,1stmax,2ndmax,3rdmax,R,w,L,VW
2905,1.62,2.07,408,50.09,1.62,2.07,387,50.75,4604,90,95.5,3.6,isolated,nan,nan,,1702,,2893
2937,1.48,2.22,492,45.71,1.48,2.22,462,45.97,4604,90,99.5,2.7,isolated,nan,nan,,1733,,3135
2898,1.48,2.36,750,53.68,1.48,2.36,715,54.28,4604,90,110.7,2.8,82.61,41.11,nan,1761,1875,820,3485
2934,1.48,2.36,572,51.95,1.62,2.36,510,51.91,4604,90,111.78,3.1,80.22,37.13,nan,1916,1803,808,3217
2910,1.62,2.36,598,51.4,1.62,2.36,563,50.85,4604,90,116.6,3.3,83.28,42.05,nan,1852,1860,798,3503
2890,1.62,2.36,796,55.99,1.62,2.36,753,56.58,4604,90,121.8,2.7,85.41,46.308,nan,1794,1897,838,3606
2921,1.62,2.51,962,58.32,1.62,2.51,899,58.19,4604,90,122.4,1.5,nomeasure,nomeasure,nomeasure,1879,1948,,3703
2924,1.62,2.51,1044,58.96,1.62,2.51,955,58.98,4604,90,128.3,4.4,88.34,49.77,nan,1865,1985,829,3781
2886,1.77,2.51,1014,59.88,1.77,2.51,1004,60.8,4604,90,136.4,2.9,87.16,48.86,nan,1843,1986,851,3824
2894,1.62,2.51,1044,60.7,1.62,2.51,1005,61.35,4604,90,137.6,2,86.474,47.9,nan,1831,1981,839,3777
2918,1.77,2.65,1129,62.04,1.77,2.65,1054,62.34,4604,90,140.3,4.2,90.08,52.31,nan,1930,2038,832,3815
2901,1.77,2.65,1342,66.83,1.77,2.65,1316,67.1,4604,90,161.6,6.4,100.46,63.22,outofframe,1842,2141,810,3875
2930,1.77,2.95,1407,66.13,1.77,2.95,1283,66.58,4604,90,170.4,3,91.94,53.64,outofframe,1912,2120,844,3976
2957,1.92,3.1,2030,71.44,2.07,3.1,1641,72.68,4604,90,204,5.2,isolated,76.67,maybe,1930,2214,876,4045
