picturename,rightmin,rightflat,righth,rightangle,leftmin,leftflat,lefth,leftangle,tapewid,tapeangle,tapevelocity,velocityuncertainty,1stmax,2ndmax,3rdmax,R,w,L,VW
3377,1.48,2.07,290,49.34,1.48,2.07,285,51.39,4570,90,93.9,1.8,isolated,nan,nan,nan,1588,,2488
3411,1.48,2.07,513,51.79,1.48,2.07,510,52.35,4570,90,100.5,2,isolated,isolated,nan,1872,1793,840,3242
3381,1.48,2.2,596,53.33,1.48,2.2,609,53.46,4570,90,102,1.2,81.81,38.72,nan,1836,1825,828,3424
3396,1.33,2.2,672,52.7,1.33,2.2,673,53.5,4570,90,109.5,2.4,84.06,39.11,nan,1809,1860,833,3495
3369,1.33,2.21,878,57.07,1.33,2.21,823,57.48,4570,90,110.9,1.2,83.52,43.89,nan,1861,1921,836,3616
3384,1.22,2.36,990,59.25,1.48,2.36,979,59.47,4570,90,121.6,0.6,85.12,46.55,nan,1818,1959,832,3770
3400,1.62,2.36,1017,60.9,1.62,2.36,1053,61.38,4570,90,125.6,1.9,89.13,50.03,nan,1856,2011,831,3830
3373,1.62,2.36,1137,62.4,1.62,2.36,1209,62.37,4570,90,132.4,1,90.46,51.1,nan,1876,2041,837,3906
3392,1.62,2.36,1247,62.06,1.62,2.36,1185,62.94,4570,90,143.7,3.4,92.06,51.89,nan,1805,2070,821,3893
3421,1.77,2.65,1374,66.46,1.62,2.65,1454,66.91,4570,90,160.4,2.1,97.53,57.36,outofframe,1925,2144,823,4005
3387,1.62,2.65,1540,66.64,1.62,2.65,1467,66.99,4570,90,162.2,0.5,95.52,55.35,outofframe,1840,2116,825,4018
3425,2.07,2.8,1744,71.86,1.92,2.8,2025,72.35,4570,90,210.8,1.7,isolated,77.2,maybe,2004,2268,864,4129
3404,1.92,2.8,2114,74.1,1.92,2.8,2282,74.3,4570,90,218.3,0.4,isolated,94.75,outofframe,1955,2257,848,4158
