picturename,rightmin,rightflat,righth,rightangle,leftmin,leftflat,lefth,leftangle,tapewid,tapeangle,tapevelocity,velocityuncertainty,1stmax,2ndmax,3rdmax,R,w,L,VW
#3199,0.89,1.33,849,54.93,0.89,1.33,826,55.71,4556,90,35.24,2.7,isolated,35.19,nan,1877,1931,,
3219,1.03,1.33,470,48.36,1.03,1.33,474,49.3,4556,90,57.9,0.9,isolated,isolated,nan,,1781,801,3027
3186,0.89,1.33,738,55.25,0.89,1.33,718,54.95,4556,90,62.9,1.8,isolated,33.89,nan,1861,1890,777,3520
3203,1.03,1.48,nan1784,62.69,1.03,1.48,nan1802,63.14,4556,90,64.2,1.7,isolated,maybe,maybe,,nan1414,,3859
3172,0.89,1.48,1017,58.42,0.89,1.48,1032,59.95,4556,90,68.5,0.7,isolated,39.19,nan,1897,2004,803,3784
#3210,1.03,1.62,1592,67.48,1.03,1.62,1597,67.86,4556,90,68.7,7.6,isolated,46.78,outofframe,1967,2166,,
3182,1.33,1.77,1259,64.62,1.33,1.77,1309,65.1,4556,90,76.2,2,isolated,43.89,outofframe,1944,2089,788,3857
3207,1.03,1.48,1160,61.71,1.03,1.48,1185,62.16,4556,90,80.9,0.7,isolated,41.46,nan,1902,2061,813,3852
3242,1.33,1.92,1730,67.92,1.33,1.92,1712,68.9,4556,90,98.9,0.5,isolated,49.21,outofframe,1990,2197,818,4052
3213,1.32,1.92,1767,68.45,1.32,1.92,1761,69.63,4556,90,99.2,0.9,isolated,49.47,outofframe,2028,2207,828,4074
3249,1.48,1.92,1871,70.09,1.48,1.92,1878,71.21,4556,90,104.1,1.2,isolated,53.08,outofframe,2056,2247,836,4073
3269,1.48,2.06,2369,73.6,1.48,2.06,2393,74.76,4556,90,134,0.8,isolated,57.87,outofframe,2128,2346,872,4177
