picturename,rightmin,rightflat,righth,rightangle,leftmin,leftflat,lefth,leftangle,tapewid,tapeangle,tapevelocity,velocityuncertainty,1stmax,2ndmax,3rdmax,R,w,L,VW
4839,11.81,14.49,29,52.48,11.81,14.49,148,52.79,4109,,565.5,3.8,,,,5538,1796,,2820
4882,11.5,13.86,118,53.71,11.5,13.86,198,53.7,4109,,608.1,3.8,,,,5390,1994,,3052
4782,12.5,16.45,90,59.04,12.5,16.45,192,58.99,4109,,624.8,1.6,,,,3151,1964,,2905
4814,12.66,14.87,93,58.13,12.34,14.87,135,57.42,4109,,629.7,1.3,,,,4774,2149,,3105
4790,13.45,14.87,43,57.68,12.5,14.87,76,57.43,4109,,648.7,2.4,,,,,2119,,3011
4902,13.07,15.44,73,59.15,13.39,16.7,205,61.36,4109,,667.1,3.4,,,,4665,2103,,3074
4775,13.13,15.66,355,61.35,13.447,16.45,154,61.12,4109,,673.6,1.7,,,,4256,2051,,3204
4958,13.23,15.12,241,61.59,13.07,16.07,226,62.18,4109,,677.6,3.8,,,,,2054,,3074
4962,13.07,15.44,157,61.93,12.6,15.44,348,62.7,4109,,698.2,6.2,,,,,2195,,3201
4831,13.39,16.38,185,62.01,13.23,16.06,147,62.39,4109,,700.1,2.9,,,,6084,2238,,3126
4808,12.5,14.87,123,61.15,12.66,15.5,194,61.02,4109,,709.6,0.9,,,,,2182,,3239
4793,13.13,15.5,,61.28,13.3,15.5,,60.92,4109,,716.3,2.5,,,,,nan2047,,3175
##4805,12.5,15.82,,,14.71,15.82,,,4109,,795.8,2.7,,,,,,,
#4692,,,,57.61,,,,55.74,4109,,709.3,1.4,,,,,,,
#4696,,,,52.39,,,,52.17,4109,,692.7,2.9,,,,,,,
#4699,,,,50.35,,,,50.39,4109,,634.97,3.5,,,,,1907,,
#4722,,,,53.01,,,,51.96,4109,,657.9,1.8,,,,3581,1884,,
